Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CC1_1_unpaired_1	CC1_1_unpaired_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7524.0	1 Mbp	0.0	35-150	43.0	73.83040935672514	140.74069643806487	150	pass	pass	fail	pass	fail	fail	pass	warn	pass	warn	fail
CC1_1_val_1	CC1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23691854.0	3.5 Gbp	0.0	20-150	39.0	18.398416068753285	148.18024997115043	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
CC1_2_unpaired_2	CC1_2_unpaired_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1968.0	290.2 kbp	0.0	35-150	69.0	87.2459349593496	147.33079268292684	150	pass	fail	fail	warn	fail	fail	pass	warn	pass	warn	fail
CC1_2_val_2	CC1_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23691854.0	3.5 Gbp	0.0	20-150	39.0	19.73016488632042	148.0944863158451	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
CC3_1_unpaired_1	CC3_1_unpaired_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7791.0	1.1 Mbp	0.0	35-150	42.0	81.19625208573996	141.2777563855731	150	pass	pass	fail	pass	fail	fail	pass	warn	pass	warn	fail
CC3_1_val_1	CC3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23786641.0	3.5 Gbp	0.0	20-150	39.0	30.694761938286952	148.38479712204847	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
CC3_2_unpaired_2	CC3_2_unpaired_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	960.0	139.3 kbp	0.0	36-150	52.0	75.625	144.79895833333333	150	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	fail
CC3_2_val_2	CC3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23786641.0	3.5 Gbp	0.0	20-150	39.0	31.73469188820145	148.29891303273968	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
CW1_1_unpaired_1	CW1_1_unpaired_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9342.0	1.3 Mbp	0.0	35-150	43.0	85.1530721472918	142.75947334617854	150	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	fail
CW1_1_val_1	CW1_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25940344.0	3.8 Gbp	0.0	20-150	40.0	34.622066271349226	148.39616028222292	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
CW1_2_unpaired_2	CW1_2_unpaired_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	793.0	115 kbp	0.0	38-150	51.0	80.45397225725095	144.6595208070618	150	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	fail
CW1_2_val_2	CW1_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25940344.0	3.8 Gbp	0.0	20-150	40.0	36.01949474389033	148.30767753118462	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
CW2_1_unpaired_1	CW2_1_unpaired_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9417.0	1.3 Mbp	0.0	35-150	42.0	75.56546670914304	140.88839333120953	150	pass	pass	fail	pass	fail	fail	pass	warn	pass	warn	fail
CW2_1_val_1	CW2_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25290352.0	3.7 Gbp	0.0	20-150	39.0	18.65687047291302	148.43371017532695	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
CW2_2_unpaired_2	CW2_2_unpaired_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	803.0	115.5 kbp	0.0	35-150	48.0	72.47820672478207	143.43586550435865	150	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	fail
CW2_2_val_2	CW2_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25290352.0	3.7 Gbp	0.0	20-150	39.0	20.506149521172823	148.33334945278736	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
CW3_1_unpaired_1	CW3_1_unpaired_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6931.0	980.3 kbp	0.0	35-150	43.0	84.61982397922377	140.94026835954406	150	pass	pass	fail	pass	fail	fail	pass	warn	pass	warn	fail
CW3_1_val_1	CW3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28051944.0	4.1 Gbp	0.0	20-150	40.0	35.34861032420698	148.33174798865988	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
CW3_2_unpaired_2	CW3_2_unpaired_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	802.0	115.5 kbp	0.0	37-150	45.0	80.54862842892769	143.7356608478803	150	pass	pass	fail	pass	fail	fail	pass	warn	pass	warn	fail
CW3_2_val_2	CW3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28051944.0	4.1 Gbp	0.0	20-150	40.0	36.29730744312102	148.28082171417424	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
