Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CC1_1_unpaired_1	26.16959064327486	43.0	140.74069643806487	150	36.36363636363637	7524.0
CC1_1_val_1	81.60158393124672	39.0	148.18024997115043	150	27.27272727272727	23691854.0
CC1_2_unpaired_2	12.754065040650403	69.0	147.33079268292684	150	45.45454545454545	1968.0
CC1_2_val_2	80.26983511367958	39.0	148.0944863158451	150	27.27272727272727	23691854.0
CC3_1_unpaired_1	18.803747914260043	42.0	141.2777563855731	150	36.36363636363637	7791.0
CC3_1_val_1	69.30523806171306	39.0	148.38479712204847	150	27.27272727272727	23786641.0
CC3_2_unpaired_2	24.375	52.0	144.79895833333333	150	45.45454545454545	960.0
CC3_2_val_2	68.26530811179855	39.0	148.29891303273968	150	27.27272727272727	23786641.0
CW1_1_unpaired_1	14.846927852708205	43.0	142.75947334617854	150	36.36363636363637	9342.0
CW1_1_val_1	65.37793372865077	40.0	148.39616028222292	150	27.27272727272727	25940344.0
CW1_2_unpaired_2	19.546027742749047	51.0	144.6595208070618	150	45.45454545454545	793.0
CW1_2_val_2	63.98050525610967	40.0	148.30767753118462	150	27.27272727272727	25940344.0
CW2_1_unpaired_1	24.43453329085696	42.0	140.88839333120953	150	36.36363636363637	9417.0
CW2_1_val_1	81.34312952708697	39.0	148.43371017532695	150	27.27272727272727	25290352.0
CW2_2_unpaired_2	27.52179327521793	48.0	143.43586550435865	150	45.45454545454545	803.0
CW2_2_val_2	79.49385047882717	39.0	148.33334945278736	150	27.27272727272727	25290352.0
CW3_1_unpaired_1	15.380176020776233	43.0	140.94026835954406	150	36.36363636363637	6931.0
CW3_1_val_1	64.65138967579301	40.0	148.33174798865988	150	27.27272727272727	28051944.0
CW3_2_unpaired_2	19.451371571072315	45.0	143.7356608478803	150	36.36363636363637	802.0
CW3_2_val_2	63.70269255687898	40.0	148.28082171417424	150	27.27272727272727	28051944.0
WC1_1_unpaired_1	23.53769358761039	42.0	141.83348265710995	150	36.36363636363637	7813.0
WC1_1_val_1	78.26817219904711	38.0	148.23242727310242	150	27.27272727272727	23433799.0
WC1_2_unpaired_2	15.765247410817025	55.0	144.11277330264673	150	45.45454545454545	869.0
WC1_2_val_2	76.92910566220735	38.0	148.118828705495	150	27.27272727272727	23433799.0
WC2_1_unpaired_1	16.660646559508763	42.0	140.9936788874842	150	36.36363636363637	11074.0
WC2_1_val_1	65.94321986198378	40.0	148.35758158859645	150	27.27272727272727	24612355.0
WC2_2_unpaired_2	21.032745591939545	49.0	142.72292191435767	150	45.45454545454545	794.0
WC2_2_val_2	64.75337894991534	40.0	148.2696262507184	150	27.27272727272727	24612355.0
WC3_1_unpaired_1	19.26013914814186	43.0	138.73748515187512	150	36.36363636363637	5893.0
WC3_1_val_1	67.82569400258566	39.0	148.4087927496068	150	27.27272727272727	20438726.0
WC3_2_unpaired_2	21.832061068702288	47.0	141.01068702290075	150	45.45454545454545	655.0
WC3_2_val_2	66.6764279569128	39.0	148.32194858916353	150	27.27272727272727	20438726.0
WC4_1_unpaired_1	30.09348187988219	43.0	137.67934434626713	147	36.36363636363637	7809.0
WC4_1_val_1	84.98611003199186	38.0	148.2010922957881	150	27.27272727272727	24672621.0
WC4_2_unpaired_2	16.544362908605734	63.0	145.04869913275516	150	45.45454545454545	1499.0
WC4_2_val_2	83.87912103179576	38.0	148.12213696307336	150	27.27272727272727	24672621.0
WW1_1_unpaired_1	16.443092241736963	43.0	141.97400082976074	150	36.36363636363637	7231.0
WW1_1_val_1	68.10924975170707	39.0	148.35422887474724	150	27.27272727272727	23429767.0
WW1_2_unpaired_2	26.2402088772846	52.0	145.98825065274153	150	45.45454545454545	766.0
WW1_2_val_2	67.13789918125813	40.0	148.27925459096542	150	27.27272727272727	23429767.0
WW2_1_unpaired_1	13.785383016152238	42.0	141.66560051175435	150	36.36363636363637	6253.0
WW2_1_val_1	59.58415423924583	40.0	148.43463044703162	150	27.27272727272727	20102761.0
WW2_2_unpaired_2	16.769420468557342	55.0	145.14673242909987	150	45.45454545454545	811.0
WW2_2_val_2	58.37357360446689	40.0	148.31149701277351	150	27.27272727272727	20102761.0
WW3_1_unpaired_1	15.283896231032784	43.0	141.75440528634363	150	36.36363636363637	8172.0
WW3_1_val_1	65.72134662798348	40.0	148.3513662593347	150	27.27272727272727	24180768.0
WW3_2_unpaired_2	24.142312579415503	49.0	145.05082592121983	150	45.45454545454545	787.0
WW3_2_val_2	64.40462037191674	40.0	148.26059660305248	150	27.27272727272727	24180768.0
